,movie_rated,run_length,genres,release_date,rating
283,Not Rated,2h 41min,Action; Biography; Drama; ,21 December 2016 (USA),8.4
284,PG-13,2h 17min,Biography; Drama; Sport; ,25 December 2014 (USA),7.2
285,PG-13,2h 32min,Biography; Drama; Music; ,29 October 2004 (USA),7.7
286,R,1h 49min,Biography; Crime; Drama; ,30 January 2004 (USA),7.3
287,R,2h 14min,Biography; Drama; Sport; ,16 January 2015 (USA),7.0
288,R,1h 44min,Biography; Comedy; Drama; ,8 December 2017 (USA),7.4
289,R,2h 20min,Biography; Crime; Drama; ,5 January 2018 (USA),7.4
290,R,2h 14min,Biography; Crime; Drama; ,16 September 2016 (USA),7.3
291,PG-13,2h 4min,Biography; Drama; ,25 December 2015 (USA),6.6
292,PG-13,2h 16min,Adventure; Biography; Drama; ,10 October 1997 (USA),7.1
293,R,2h 1min,Biography; Comedy; Drama; ,15 January 1988 (USA),7.3
294,R,1h 54min,Biography; Crime; Drama; ,3 February 2006 (USA),7.3
295,PG-13,2h 16min,Biography; Drama; Sport; ,14 January 2005 (USA),7.3
296,R,2h 10min,Action; Biography; Drama; ,25 December 1993 (USA),7.8
297,R,1h 58min,Biography; Comedy; Drama; ,22 December 1999 (USA),7.4
298,PG-13,3h 17min,Adventure; Biography; Drama; ,17 November 1960 (Brazil),7.9
299,R,2h 1min,Biography; Drama; Music; ,31 May 2019 (USA),7.3
300,PG-13,2h 1min,Comedy; ,1 August 2014 (USA),8.0
301,PG,1h 56min,Comedy; ,3 July 1985 (USA),8.5
302,G,1h 40min,Comedy; ,30 May 2003 (USA),8.1
303,PG,1h 36min,Comedy; ,29 May 2009 (USA),8.2
304,PG,1h 43min,Comedy; ,5 June 1998 (USA),8.1
305,R,1h 48min,Comedy; ,12 February 2016 (USA),8.0
306,G,1h 21min,Comedy; ,22 November 1995 (USA),8.3
307,G,1h 32min,Comedy; ,2 November 2001 (USA),8.0
308,R,1h 42min,Comedy; ,19 January 2001 (USA),8.3
309,G,1h 43min,Comedy; ,18 June 2010 (USA),8.3
310,R,1h 52min,Comedy; ,13 July 2012 (India),8.5
311,R,1h 57min,Comedy; ,6 March 1998 (USA),8.1
312,R,1h 40min,Comedy; ,5 June 2009 (USA),7.7
313,R,2h 2min,Comedy; Romance; ,8 February 2002 (USA),8.3
314,R,1h 39min,Comedy; ,28 March 2014 (USA),8.1
315,R,2h 2min,Comedy; Romance; ,25 December 2012 (USA),7.7
316,G,1h 51min,Comedy; ,29 June 2007 (USA),8.0
317,PG-13,1h 56min,Comedy; Romance; ,12 February 1999 (USA),8.6
318,PG,1h 30min,Comedy; ,18 May 2001 (USA),7.8
319,PG,1h 35min,Comedy; ,19 June 2015 (USA),8.1
320,R,2h 9min,Comedy; ,13 February 2015 (USA),7.7
321,PG,1h 41min,Comedy; Romance; ,12 February 1993 (USA),8.0
322,R,1h 59min,Comedy; ,14 November 2014 (USA),7.7
323,R,1h 46min,Comedy; ,29 June 2012 (USA),6.9
324,PG-13,2h 10min,Comedy; ,3 November 2017 (USA),7.9
325,PG,1h 42min,Comedy; ,27 November 2013 (USA),7.4
326,PG-13,1h 57min,Comedy; ,17 July 2015 (USA),7.3
327,PG-13,2h 16min,Comedy; ,5 May 2017 (USA),7.6
328,R,1h 47min,Comedy; ,28 August 1998 (UK),8.2
329,R,1h 57min,Comedy; ,16 April 2010 (USA),7.6
330,G,1h 32min,Comedy; ,24 November 1999 (USA),7.9
331,R,1h 53min,Comedy; ,17 August 2007 (USA),7.6
332,R,1h 28min,Comedy; ,2 October 2009 (USA),7.6
333,PG-13,1h 38min,Comedy; ,2 July 1997 (USA),7.3
334,R,1h 49min,Comedy; ,16 March 2012 (USA),7.2
335,R,1h 39min,Comedy; ,24 September 2004 (USA),7.9
336,PG,1h 35min,Comedy; ,9 July 2010 (USA),7.6
337,PG,1h 31min,Comedy; ,6 December 1979 (India),8.2
338,R,2h 41min,Comedy; ,26 July 2019 (USA),7.7
339,PG-13,2h 8min,Comedy; ,25 December 2016 (USA),8.0
340,PG-13,1h 36min,Comedy; ,25 December 2007 (USA),7.4
341,R,1h 41min,Comedy; ,14 April 2000 (USA),7.6
342,PG,1h 48min,Comedy; ,22 November 1989 (USA),7.8
343,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7
344,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4
345,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7
346,R,1h 42min,Comedy; ,26 May 2011 (USA),6.4
347,R,2h 1min,Comedy; ,20 April 2007 (USA),7.8
348,PG,1h 43min,Comedy; ,16 November 1990 (USA),7.6
349,R,2h 12min,Comedy; ,8 November 2019 (USA),8.6
350,PG-13,2h,Comedy; ,10 June 2005 (USA),6.5
351,PG,1h 35min,Comedy; ,29 January 1964 (USA),8.4
352,R,1h 41min,Comedy; ,18 August 2006 (USA),7.8
353,PG,1h 21min,Comedy; ,15 March 2002 (USA),7.5
354,PG,1h 48min,Comedy; ,4 March 2016 (USA),8.0
355,R,1h 38min,Comedy; ,8 July 2011 (USA),6.9
356,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6
357,PG,1h 55min,Comedy; ,15 July 2005 (USA),6.6
358,PG,1h 33min,Comedy; ,19 May 2004 (USA),7.2
359,PG,2h 8min,Comedy; ,9 June 1989 (USA),8.1
360,R,1h 55min,Comedy; ,1 December 2017 (USA),8.2
361,R,1h 42min,Comedy; ,3 October 2003 (USA),7.7
362,PG,1h 40min,Comedy; ,24 November 2010 (USA),7.7
363,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4
364,R,1h 50min,Comedy; ,7 August 2013 (USA),7.0
365,PG,1h 58min,Comedy; ,25 May 1990 (USA),7.4
366,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1
367,R,1h 47min,Comedy; ,29 February 2008 (USA),7.9
368,PG-13,1h 34min,Comedy; Romance; ,10 June 2011 (USA),7.7
369,R,1h 47min,Comedy; ,12 June 2013 (USA),6.6
370,R,1h 47min,Comedy; ,13 August 2008 (USA),7.0
371,PG,1h 41min,Comedy; ,2 November 2012 (USA),7.7
372,R,1h 35min,Comedy; ,9 July 1999 (USA),7.0
373,PG-13,1h 52min,Comedy; ,13 August 2010 (USA),7.5
374,PG-13,1h 41min,Comedy; ,23 May 2003 (USA),6.8
375,PG,1h 33min,Comedy; ,22 June 2012 (USA),7.1
376,PG,1h 38min,Comedy; ,3 July 2013 (USA),7.3
377,G,1h 30min,Comedy; ,25 November 1992 (USA),8.0
378,PG-13,1h 49min,Comedy; ,30 June 2006 (USA),6.9
379,R,1h 34min,Comedy; ,17 August 1979 (USA),8.1
380,PG,1h 26min,Comedy; ,27 May 2005 (USA),6.9
381,G,1h 57min,Comedy; ,9 June 2006 (USA),7.1
382,PG-13,1h 32min,Comedy; Romance; ,17 September 2010 (USA),7.0
383,PG-13,1h 47min,Comedy; ,16 December 1994 (USA),7.3
384,R,1h 24min,Comedy; ,3 November 2006 (USA),7.3
385,PG,1h 45min,Comedy; ,8 June 1984 (USA),7.8
386,R,2h 10min,Comedy; ,23 December 2015 (USA),7.8
387,R,1h 37min,Comedy; ,15 February 1985 (USA),7.9
388,R,2h 9min,Comedy; Romance; ,1 June 2007 (USA),6.9
389,PG-13,2h 10min,Comedy; ,27 November 2019 (USA),7.9
390,R,1h 52min,Comedy; ,13 June 2014 (USA),7.0
391,PG-13,1h 41min,Comedy; ,29 July 1994 (USA),6.9
392,PG-13,1h 28min,Comedy; ,3 July 2002 (USA),6.2
393,PG-13,2h 10min,Comedy; ,16 November 2018 (USA),8.2
394,R,1h 49min,Comedy; Romance; ,22 July 2011 (USA),6.5
395,PG-13,2h 50min,Comedy; ,25 December 2009 (India),8.4
396,PG-13,1h 44min,Comedy; Romance; ,19 December 2008 (USA),6.8
397,PG-13,1h 46min,Comedy; ,25 May 2012 (USA),6.8
398,R,1h 59min,Comedy; Romance; ,15 July 2005 (USA),6.9
399,PG-13,1h 34min,Comedy; ,9 July 2004 (USA),7.2
400,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0
401,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9
402,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2
403,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6
404,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6
405,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5
406,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2
407,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6
408,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9.0
409,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5
410,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7
411,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1
412,R,1h 46min,Crime; Mystery; Thriller; ,16 August 1995 (USA),8.5
413,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3
414,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1
415,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5
416,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1
417,R,1h 42min,Comedy; Crime; ,19 January 2001 (USA),8.3
418,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3
419,R,2h 4min,Crime; Thriller; ,1 April 2005 (USA),8.0
420,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3
421,R,1h 57min,Comedy; Crime; Sport; ,6 March 1998 (USA),8.1
422,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3
423,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6
424,R,1h 39min,Adventure; Comedy; Crime; ,28 March 2014 (USA),8.1
425,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8.0
426,Approved,1h 36min,Crime; Drama; ,10 April 1957 (USA),8.9
427,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1
428,PG-13,1h 55min,Crime; Mystery; Thriller; ,31 May 2013 (USA),7.3
429,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1
430,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2
431,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8
432,R,1h 47min,Action; Comedy; Crime; ,28 August 1998 (UK),8.2
433,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2
434,R,1h 57min,Action; Comedy; Crime; ,16 April 2010 (USA),7.6
435,R,1h 41min,Action; Crime; Thriller; ,24 October 2014 (USA),7.4
436,PG-13,1h 56min,Crime; Thriller; ,7 December 2001 (USA),7.7
437,R,1h 49min,Action; Comedy; Crime; ,16 March 2012 (USA),7.2
438,PG-13,2h 25min,Action; Crime; Mystery; ,21 June 2002 (USA),7.6
439,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8
440,R,1h 41min,Comedy; Crime; Drama; ,14 April 2000 (USA),7.6
441,R,2h 58min,Crime; Drama; ,22 November 1995 (USA),8.2
442,R,1h 57min,Crime; Drama; Thriller; ,31 October 2014 (USA),7.9
443,PG-13,2h,Action; Comedy; Crime; ,10 June 2005 (USA),6.5
444,R,2h 18min,Crime; Drama; ,20 December 2013 (USA),7.2
445,R,2h 37min,Crime; Drama; Mystery; ,2 March 2007 (USA),7.7
446,R,1h 53min,Action; Crime; Drama; ,28 June 2017 (USA),7.6
447,R,1h 38min,Comedy; Crime; ,8 July 2011 (USA),6.9
448,R,1h 52min,Crime; Drama; Thriller; ,6 May 2005 (USA),7.7
449,PG-13,2h 14min,Biography; Crime; Drama; ,11 October 2013 (USA),7.8
450,R,2h 18min,Crime; Drama; Mystery; ,15 October 2003 (USA),7.9
451,R,2h 38min,Crime; Drama; Mystery; ,21 December 2011 (USA),7.8
452,R,1h 55min,Comedy; Crime; Drama; ,1 December 2017 (USA),8.2
453,R,2h 9min,Biography; Crime; Drama; ,20 November 2015 (USA),8.1
454,R,2h 47min,Crime; Drama; ,20 December 2002 (USA),7.5
455,R,1h 50min,Comedy; Crime; ,7 August 2013 (USA),7.0
456,R,2h 37min,Biography; Crime; Drama; ,2 November 2007 (USA),7.8
457,R,1h 47min,Comedy; Crime; Drama; ,29 February 2008 (USA),7.9
458,R,2h 2min,Crime; Drama; Thriller; ,5 October 2001 (USA),7.7
459,R,2h 1min,Action; Crime; Drama; ,2 October 2015 (USA),7.6
460,R,1h 50min,Action; Crime; Fantasy; ,27 June 2008 (USA),6.7
461,R,2h,Crime; Drama; Thriller; ,6 August 2004 (USA),7.5
462,PG-13,2h 5min,Crime; Thriller; ,10 December 2004 (USA),6.5
463,R,2h 42min,Crime; Drama; ,25 December 1990 (USA),7.6
464,R,2h 2min,Action; Crime; Thriller; ,10 February 2017 (USA),7.5
465,PG-13,2h 10min,Action; Adventure; Crime; ,29 April 2011 (USA),7.3
466,R,2h 18min,Action; Crime; Sci-Fi; ,27 June 1997 (USA),7.3
467,PG-13,2h 10min,Comedy; Crime; Drama; ,27 November 2019 (USA),7.9
468,R,2h 5min,Crime; Drama; Thriller; ,17 September 2010 (USA),7.5
469,PG-13,1h 46min,Action; Crime; Thriller; ,22 June 2001 (USA),6.8
470,R,1h 52min,Action; Comedy; Crime; ,13 June 2014 (USA),7.0
471,PG-13,1h 51min,Action; Crime; Thriller; ,30 May 2003 (USA),7.0
472,PG-13,1h 41min,Action; Comedy; Crime; ,29 July 1994 (USA),6.9
473,R,2h 9min,Crime; Drama; Mystery; ,24 March 2006 (USA),7.6
474,R,2h 12min,Action; Crime; Thriller; ,26 September 2014 (USA),7.2
475,R,2h 26min,Action; Crime; Drama; ,23 April 2004 (USA),7.7
476,PG-13,2h 2min,Action; Crime; Thriller; ,8 June 2007 (USA),6.9
477,R,1h 51min,Action; Comedy; Crime; ,6 August 2008 (USA),6.9
478,R,2h 34min,Crime; Drama; Thriller; ,25 December 1997 (USA),7.5
479,R,1h 36min,Comedy; Crime; Drama; ,12 September 2008 (USA),7.0
480,R,3h 49min,Crime; Drama; ,1 June 1984 (USA),8.4
481,R,3h 29min,Biography; Crime; Drama; ,27 November 2019 (USA),7.9
482,R,1h 50min,Crime; Drama; Mystery; ,7 April 2006 (USA),7.7
483,PG,2h,Adventure; Comedy; Crime; ,20 November 1992 (USA),6.8
484,R,2h 2min,Action; Crime; Drama; ,16 September 2005 (USA),7.6
485,PG-13,2h 6min,Action; Crime; Sci-Fi; ,22 November 2006 (USA),7.0
486,Approved,2h 9min,Crime; Drama; ,16 March 1963 (USA),8.2
487,R,1h 40min,Comedy; Crime; ,23 May 2013 (USA),5.8
488,PG-13,1h 51min,Action; Comedy; Crime; ,15 October 2010 (USA),7.0
489,R,2h 2min,Action; Crime; Drama; ,7 September 2007 (USA),7.7
490,PG-13,1h 32min,Action; Crime; Thriller; ,11 October 2002 (USA),6.8
491,R,1h 48min,Action; Crime; Horror; ,19 January 1996 (USA),7.2
492,PG-13,1h 47min,Adventure; Comedy; Crime; ,2 February 2001 (USA),7.7
493,R,2h 20min,Biography; Crime; Drama; ,1 July 2009 (USA),7.0
494,R,1h 59min,Crime; Drama; Thriller; ,3 June 1987 (USA),7.9
495,R,1h 55min,Action; Crime; Thriller; ,6 June 1997 (USA),6.9
496,R,2h 7min,Biography; Crime; Drama; ,28 February 1997 (USA),7.7
497,PG-13,2h 6min,Action; Crime; Fantasy; ,19 June 1992 (USA),7.0
498,R,1h 56min,Action; Comedy; Crime; ,20 May 2016 (USA),7.4
499,R,1h 49min,Action; Crime; Drama; ,16 October 2009 (USA),7.4
500,R,2h 22min,Drama; ,14 October 1994 (USA),9.3
501,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0
502,R,2h 19min,Drama; ,15 October 1999 (USA),8.8
503,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9
504,PG-13,2h 22min,Drama; Romance; ,6 July 1994 (USA),8.8
505,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8
506,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003 (USA),8.9
507,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2
508,PG-13,2h 59min,Adventure; Drama; Fantasy; ,18 December 2002 (USA),8.7
509,PG-13,2h 49min,Adventure; Drama; Sci-Fi; ,7 November 2014 (USA),8.6
510,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6
511,R,2h 45min,Drama; Western; ,25 December 2012 (USA),8.4
512,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5
513,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6
514,R,2h 33min,Adventure; Drama; War; ,21 August 2009 (USA),8.3
515,R,2h 49min,Drama; War; ,24 July 1998 (USA),8.6
516,R,3h 15min,Biography; Drama; History; ,4 February 1994 (USA),8.9
517,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5
518,PG-13,2h 10min,Drama; Mystery; Sci-Fi; ,20 October 2006 (USA),8.5
519,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2
520,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6
521,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9.0
522,R,2h 2min,Drama; ,1 October 1999 (USA),8.3
523,PG-13,3h 14min,Drama; Romance; ,19 December 1997 (USA),7.8
524,R,1h 59min,Drama; ,20 November 1998 (USA),8.5
525,R,2h 12min,Action; Drama; Sci-Fi; ,17 March 2006 (USA),8.2
526,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5
527,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7
528,R,2h 58min,Biography; Drama; History; ,24 May 1995 (USA),8.3
529,G,1h 28min,Animation; Adventure; Drama; ,24 June 1994 (USA),8.5
530,PG,1h 43min,Comedy; Drama; Sci-Fi; ,5 June 1998 (USA),8.1
531,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3
532,PG-13,1h 47min,Drama; Mystery; Thriller; ,6 August 1999 (USA),8.1
533,R,2h 13min,Drama; ,19 November 1975 (USA),8.7
534,R,1h 48min,Drama; Romance; Sci-Fi; ,19 March 2004 (USA),8.3
535,R,2h 26min,Drama; Horror; ,13 June 1980 (USA),8.4
536,R,2h 6min,Drama; Romance; ,9 January 1998 (USA),8.3
537,R,2h 29min,Drama; Mystery; Thriller; ,3 October 2014 (USA),8.1
538,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1
539,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5
540,PG-13,2h 15min,Biography; Drama; ,4 January 2002 (USA),8.2
541,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1
542,R,2h,Drama; Romance; ,25 December 2008 (USA),8.0
543,PG-13,1h 31min,Drama; Sci-Fi; Thriller; ,4 October 2013 (USA),7.7
544,R,1h 42min,Drama; ,15 December 2000 (USA),8.3
545,PG-13,2h 10min,Adventure; Drama; Fantasy; ,15 July 2011 (USA),8.1
546,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019 (USA),8.4
547,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3
548,PG-13,2h 24min,Adventure; Drama; Sci-Fi; ,2 October 2015 (USA),8.0
549,R,1h 52min,Biography; Comedy; Drama; ,13 July 2012 (India),8.5
550,R,1h 53min,Drama; Mystery; Sci-Fi; ,30 January 2002 (France),8.0
551,R,1h 57min,Action; Drama; ,9 March 2007 (USA),7.6
552,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3
553,R,1h 56min,Drama; ,9 January 2009 (USA),8.1
554,R,2h 30min,Biography; Drama; Music; ,28 March 2003 (USA),8.5
555,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3
556,R,1h 46min,Drama; Music; ,20 February 2015 (India),8.5
557,R,1h 48min,Drama; Thriller; ,17 December 2010 (USA),8.0
558,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6
559,R,2h 36min,Action; Adventure; Drama; ,8 January 2016 (USA),8.0
560,PG-13,1h 41min,Action; Adventure; Drama; ,14 December 2007 (USA),7.2
561,PG-13,1h 54min,Biography; Drama; Thriller; ,25 December 2014 (USA),8.0
562,Approved,1h 36min,Crime; Drama; ,10 April 1957 (USA),8.9
563,R,1h 56min,Drama; War; ,10 July 1987 (USA),8.3
564,R,2h 2min,Comedy; Drama; Romance; ,25 December 2012 (USA),7.7
565,R,1h 58min,Biography; Drama; History; ,25 December 2010 (USA),8.0
566,R,2h 17min,Action; Drama; Sci-Fi; ,3 March 2017 (USA),8.1
567,R,1h 33min,Drama; ,9 August 1996 (USA),8.1
568,R,2h 14min,Biography; Drama; History; ,8 November 2013 (USA),8.1
569,PG-13,2h 12min,Drama; Sport; ,28 January 2005 (USA),8.1
570,PG-13,2h,Biography; Drama; ,1 October 2010 (USA),7.7
571,R,1h 58min,Drama; Fantasy; War; ,19 January 2007 (USA),8.2
572,PG-13,1h 56min,Comedy; Drama; Romance; ,12 February 1999 (USA),8.6
573,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1
574,R,2h 27min,Drama; Mystery; War; ,15 August 1979 (USA),8.4
575,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1
576,PG-13,2h 46min,Drama; Fantasy; Romance; ,25 December 2008 (USA),7.8
577,PG-13,1h 56min,Drama; Mystery; Sci-Fi; ,11 November 2016 (USA),7.9
578,PG,2h 7min,Adventure; Drama; Fantasy; ,21 November 2012 (USA),7.9
579,R,1h 59min,Comedy; Drama; ,14 November 2014 (USA),7.7
580,R,2h,Biography; Drama; Thriller; ,12 October 2012 (USA),7.7
581,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2
582,R,2h 28min,Adventure; Biography; Drama; ,19 October 2007 (USA),8.1
583,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8
584,R,1h 53min,Action; Drama; Sci-Fi; ,28 September 2012 (USA),7.4
585,PG-13,1h 46min,Action; Drama; History; ,21 July 2017 (USA),7.9
586,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2
587,R,2h 6min,Drama; Romance; Sci-Fi; ,10 January 2014 (USA),8.0
588,PG-13,2h 23min,Adventure; Drama; Romance; ,22 December 2000 (USA),7.8
589,PG,1h 42min,Drama; Romance; War; ,23 January 1943 (USA),8.5
590,PG-13,2h 3min,Drama; Romance; ,25 June 2004 (USA),7.8
591,PG,2h,Drama; Sport; ,3 December 1976 (USA),8.1
592,R,2h 38min,Drama; ,25 January 2008 (USA),8.2
593,R,1h 41min,Action; Drama; Mystery; ,21 November 2003 (South Korea),8.4
594,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8
595,PG-13,1h 45min,Action; Drama; Sci-Fi; ,5 August 2011 (USA),7.6
596,PG-13,1h 55min,Action; Drama; Sci-Fi; ,16 July 2004 (USA),7.1
597,R,2h 41min,Comedy; Drama; ,26 July 2019 (USA),7.7
598,R,2h 42min,Action; Drama; Mystery; ,6 March 2009 (USA),7.6
599,R,2h 23min,Adventure; Drama; Thriller; ,8 December 2006 (USA),8.0
600,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003 (USA),8.9
601,PG-13,2h 59min,Adventure; Drama; Fantasy; ,18 December 2002 (USA),8.7
602,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6
603,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7
604,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6
605,PG-13,2h 42min,Action; Adventure; Fantasy; ,18 December 2009 (USA),7.8
